역명,요일,00시11시,11시17시,17시24시,총합,평균
가락시장,금,71509,58189,73629,203327,67776.0
가락시장,목,73742,55091,67826,196659,65553.0
가락시장,수,83134,63386,77969,224489,74830.0
가락시장,월,79734,58693,70279,208706,69569.0
가락시장,일,16379,37958,35688,90025,30008.0
가락시장,토,30932,57325,39730,127987,42662.0
가락시장,화,83778,62198,75902,221878,73959.0
가산디지털단지,금,384772,76147,57039,517958,172653.0
가산디지털단지,목,403870,74398,49550,527818,175939.0
가산디지털단지,수,466530,81381,57743,605654,201885.0
가산디지털단지,월,444386,74018,51569,569973,189991.0
가산디지털단지,일,23067,59691,27844,110602,36867.0
가산디지털단지,토,44708,74449,33829,152986,50995.0
가산디지털단지,화,472420,80669,56502,609591,203197.0
강남,금,426120,257781,236827,920728,306909.0
강남,목,436438,236064,195142,867644,289215.0
강남,수,507227,267044,222157,996428,332143.0
강남,월,487476,254316,190387,932179,310726.0
강남,일,66658,174059,106065,346782,115594.0
강남,토,171525,303086,146677,621288,207096.0
강남,화,516703,266541,215168,998412,332804.0
강남구청,금,124571,42697,30009,197277,65759.0
강남구청,목,126558,41040,26292,193890,64630.0
강남구청,수,147267,46737,31281,225285,75095.0
강남구청,월,135107,40956,27120,203183,67728.0
강남구청,일,22120,27641,14221,63982,21327.0
강남구청,토,44780,48108,19545,112433,37478.0
강남구청,화,149142,45157,30107,224406,74802.0
강동,금,59186,46725,97101,203012,67671.0
강동,목,61495,44614,95536,201645,67215.0
강동,수,68891,50787,108330,228008,76003.0
강동,월,67354,47432,101500,216286,72095.0
강동,일,16092,35817,45066,96975,32325.0
강동,토,25707,51545,56118,133370,44457.0
강동,화,71116,50529,108876,230521,76840.0
강동구청,금,35221,29190,57783,122194,40731.0
강동구청,목,36890,27716,58783,123389,41130.0
강동구청,수,41516,31891,67355,140762,46921.0
강동구청,월,39227,29876,62633,131736,43912.0
강동구청,일,7793,17925,23297,49015,16338.0
강동구청,토,12011,26391,29722,68124,22708.0
강동구청,화,41982,30804,67568,140354,46785.0
강변(동서울터미널),금,59784,100831,180005,340620,113540.0
강변(동서울터미널),목,61111,89876,159089,310076,103359.0
강변(동서울터미널),수,65672,102415,187784,355871,118624.0
강변(동서울터미널),월,65921,97253,171583,334757,111586.0
강변(동서울터미널),일,32759,85992,87754,206505,68835.0
강변(동서울터미널),토,52872,112901,98231,264004,88001.0
강변(동서울터미널),화,64193,94514,181239,339946,113315.0
강일,금,21,6,0,27,9.0
강일,수,454,774,2094,3322,1107.0
강일,월,406,754,2209,3369,1123.0
강일,일,140,727,980,1847,616.0
강일,토,427,1115,1099,2641,880.0
강일,화,409,776,2157,3342,1114.0
개롱,금,17416,18378,37337,73131,24377.0
개롱,목,17665,17785,37814,73264,24421.0
개롱,수,20001,20299,43234,83534,27845.0
개롱,월,19204,18973,40142,78319,26106.0
개롱,일,5748,12496,16091,34335,11445.0
개롱,토,10115,17585,20484,48184,16061.0
개롱,화,20043,19826,43151,83020,27673.0
개화산,금,12608,15019,28287,55914,18638.0
개화산,목,12877,13860,27870,54607,18202.0
