,상권코드명,link
0,서울역 15번,0
1,시청역_1번,1
2,북창동(시청역_6번),1
3,종각역,2
4,종로3가역,3
5,종로5가역 4번,4
6,동대문역 1번,5
7,신설동역 12번,6
8,제기동역 6번,7
9,청량리역(청량리),8
10,동묘앞역 2번,9
11,을지로입구역,10
12,을지로3가역,11
13,을지로4가역,12
14,동대문역사문화공원역 5번,13
15,신당역 3번,14
16,상왕십리역 6번,15
17,왕십리역 9번,16
18,왕십리역(왕십리),16
19,한양대역 4번,17
20,뚝섬역교차로,18
21,성수역,19
22,건대입구역 6번,20
23,구의역 4번,21
24,강변역(테크노마트),22
25,잠실나루역,23
26,잠실역,24
27,잠실새내역(신천),25
28,삼성역,27
29,선릉역,28
30,역삼역 4번,29
31,강남역,30
32,교대역(법원.검찰청),31
33,서초역,32
34,방배역 3번,33
35,사당역 10번,34
36,사당역(사당),34
37,낙성대역 5번(관악중학교),35
38,서울대입구역 8번,36
39,봉천역 4번(봉천110안전센터),37
40,"신림역 5번(신림동주민센터, 신림동별빛거리)",38
41,신림역(신림),38
42,신대방역 3번,39
43,구로디지털단지역 4번,40
44,대림역 2번,41
45,대림차이나타운(대림역 12번),41
46,신도림역,42
47,문래역 3번,43
48,영등포구청역 2번,44
49,당산역 13번,45
50,합정역 8번,46
51,홍대입구역 3번,47
52,신촌역 6번,48
53,경의중앙 신촌역,48
54,이대역 5번,49
55,"이화여대(이대역, 이대)",49
56,아현역 1번,50
57,충정로역 7번,51
58,신정네거리역 2번,56
59,구파발역,59
60,연신내역 5번,60
61,불광역 7번,61
62,홍제역 4번,63
63,독립문역 1번,65
64,서촌(경복궁역),66
65,북촌(안국역),67
66,약수역 7번,69
67,금호역,70
68,옥수역 6번,71
69,압구정역,72
70,신사역,73
71,잠원역,74
72,고속터미널(고속터미널역),75
73,남부터미널역 1번,76
74,양재역 8번(양재동우체국),77
75,매봉역 1번,78
76,대치역,80
77,수서역,84
78,가락시장역,85
79,경찰병원역 4번(건너말공원),86
80,오금역 4번,87
81,당고개역 2번,88
82,상계역,89
83,노원역 9번,90
84,창동역 2번,91
85,쌍문역1번(쌍리단길),92
86,쌍문시장(쌍문역골목시장),92
87,수유역 2번,93
88,미아역 8번,94
89,미아사거리역 3번,95
90,길음역 7번,96
91,성신여대입구역 4번,97
92,한성대입구역 5번,98
93,혜화역 1번,99
94,대학로(혜화역),99
95,충무로역,100
96,명동역(명동재미로),101
97,회현역 1번,102
98,숙대입구역 1번,103
99,삼각지역 3번,104
100,신용산역(용산역),105
101,"총신대입구역(이수, 총신대)",108
102,남태령역(서울전자고등학교),109
103,방화역 3번,110
104,개화산역 1번,111
105,김포공항역(김포공항),112
106,송정역 4번,113
107,마곡역(마곡),114
108,발산역(마곡),114
109,발산역 5번,115
110,우장산역 4번,116
111,화곡역 5번,117
112,까치산역 4번,118
113,신정역 1번,119
114,목동역 5번,120
115,오목교역,121
116,양평역 2번,122
117,영등포시장역 4번,123
118,신길역 3번,124
119,여의도역(여의도),125
120,마포역 4번,127
121,공덕역(공덕오거리),128
122,애오개역 3번,129
123,서대문역,130
124,광화문역,131
125,청구역 1번,132
126,신금호역 4번,133
127,행당역 2번,134
128,마장역 2번,135
129,답십리역 6번,136
130,장한평역(장한평),137
131,군자역 5번,138
132,아차산역 5번,139
133,광나루역 1번,140
134,천호역 1번(천호문구완구거리),141
135,강동역 4번(강풀만화거리),142
136,길동역,143
137,굽은다리역 1번(십자성마을),144
138,명일역 1번,145
139,고덕역,146
140,둔촌역,148
141,방이역 4번,150
142,개롱역,151
143,거여역 8번,152
144,마천역(마천초등학교),153
145,응암역 2번,156
146,역촌역 2번,157
147,구산역 4번,159
148,새절역 3번,160
149,증산역 3번,161
150,DMC(디지털미디어시티),162
151,월드컵경기장역(월드컵경기장),163
152,마포구청역 7번,164
153,망원역 1번,165
154,상수역 4번,166
155,광흥창역 6번,167
156,대흥역 3번,168
157,효창공원앞역 6번,169
158,이태원역 북측,171
159,이태원(이태원역),171
160,한강진역 3번,172
161,버티고개,173
162,창신역 1번,174
163,보문역 8번,175
